"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","843","@smoke - Verify login process with valid credentials","webkit","Mon Nov 04 14:50:53 WIB 2024","failed","Mon Nov 04 14:50:54 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","6291","@smoke - Verify adding product to cart and product information are accurate","firefox","Mon Nov 04 14:21:40 WIB 2024","passed","Mon Nov 04 14:21:46 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","2732","Verify error message for blank password field","firefox","Mon Nov 04 14:23:36 WIB 2024","passed","Mon Nov 04 14:23:39 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","28783","Verify Cart Page","webkit","Mon Nov 04 14:50:14 WIB 2024","passed","Mon Nov 04 14:50:43 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","3447","@smoke - Verify Checkout Page","Mobile Chrome","Mon Nov 04 14:26:13 WIB 2024","passed","Mon Nov 04 14:26:17 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","62013","Can not access checkout-info page without login","Mobile Safari","Mon Nov 04 14:28:58 WIB 2024","passed","Mon Nov 04 14:30:00 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","62058","Can not access checkout-overview page without login","firefox","Mon Nov 04 14:23:00 WIB 2024","passed","Mon Nov 04 14:24:02 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","4113","@smoke - Verify login process with valid credentials","Mobile Chrome","Mon Nov 04 14:27:55 WIB 2024","passed","Mon Nov 04 14:27:59 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1815","Can not access cart page without login","webkit","Mon Nov 04 14:50:50 WIB 2024","passed","Mon Nov 04 14:50:52 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","61708","Can not access checkout-overview page without login","chromium","Mon Nov 04 14:20:53 WIB 2024","passed","Mon Nov 04 14:21:54 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1292","Verify Login Page","Mobile Safari","Mon Nov 04 14:30:00 WIB 2024","passed","Mon Nov 04 14:30:01 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1297","Verify error message for access inventory-item page without login","webkit","Mon Nov 04 14:51:02 WIB 2024","failed","Mon Nov 04 14:51:04 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","62524","Can not access checkout-complete page without login","Mobile Safari","Mon Nov 04 14:29:43 WIB 2024","passed","Mon Nov 04 14:30:46 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2265","Verify sort product function by names and prices","Mobile Chrome","Mon Nov 04 14:28:19 WIB 2024","passed","Mon Nov 04 14:28:21 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","61230","Can not access cart page without login","chromium","Mon Nov 04 14:19:54 WIB 2024","passed","Mon Nov 04 14:20:56 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2221","Verify error message for incorrect password","Mobile Safari","Mon Nov 04 14:30:10 WIB 2024","passed","Mon Nov 04 14:30:12 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","62881","Test Github Actions - hasilnya failed","Mobile Safari","Mon Nov 04 14:29:44 WIB 2024","passed","Mon Nov 04 14:30:47 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1473","Verify error message for checkout-complete inventory page without login","Mobile Chrome","Mon Nov 04 14:28:15 WIB 2024","passed","Mon Nov 04 14:28:17 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","3309","Verify data product are accurate in checkout process","Mobile Chrome","Mon Nov 04 14:26:16 WIB 2024","passed","Mon Nov 04 14:26:19 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","4591","Verify Cart Page","Mobile Chrome","Mon Nov 04 14:26:09 WIB 2024","passed","Mon Nov 04 14:26:13 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","2226","Verify error message for checkout-complete inventory page without login","firefox","Mon Nov 04 14:23:54 WIB 2024","passed","Mon Nov 04 14:23:57 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","6839","Can not access inventory-item page without login","webkit","Mon Nov 04 14:50:43 WIB 2024","passed","Mon Nov 04 14:50:50 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1555","Can not access checkout-overview page without login","webkit","Mon Nov 04 14:50:54 WIB 2024","passed","Mon Nov 04 14:50:56 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2390","Verify error message for cart page without login","firefox","Mon Nov 04 14:23:42 WIB 2024","passed","Mon Nov 04 14:23:45 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2044","Verify error message for checkout-info page without login","firefox","Mon Nov 04 14:23:49 WIB 2024","passed","Mon Nov 04 14:23:51 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","28753","@smoke - Verify adding product to cart and product information are accurate","webkit","Mon Nov 04 14:50:14 WIB 2024","passed","Mon Nov 04 14:50:43 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","64500","Can not access cart page without login","firefox","Mon Nov 04 14:22:18 WIB 2024","passed","Mon Nov 04 14:23:22 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1404","Verify error message for blank username field","chromium","Mon Nov 04 14:21:03 WIB 2024","passed","Mon Nov 04 14:21:04 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","13046","@smoke - Verify Checkout Page","chromium","Mon Nov 04 14:19:38 WIB 2024","passed","Mon Nov 04 14:19:51 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","983","Verify error message for blank password field","webkit","Mon Nov 04 14:50:56 WIB 2024","failed","Mon Nov 04 14:50:57 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","6852","Can not access inventory page without login","webkit","Mon Nov 04 14:50:43 WIB 2024","passed","Mon Nov 04 14:50:50 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1838","Verify Login Page","chromium","Mon Nov 04 14:20:56 WIB 2024","passed","Mon Nov 04 14:20:58 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1549","Can not access checkout-complete page without login","webkit","Mon Nov 04 14:50:54 WIB 2024","passed","Mon Nov 04 14:50:56 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","3227","Verify error message for incorrect password","firefox","Mon Nov 04 14:23:39 WIB 2024","passed","Mon Nov 04 14:23:42 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","1368","Verify error message for checkout-info page without login","Mobile Safari","Mon Nov 04 14:30:16 WIB 2024","passed","Mon Nov 04 14:30:17 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","12007","@smoke - Verify removing product from cart","chromium","Mon Nov 04 14:19:38 WIB 2024","passed","Mon Nov 04 14:19:50 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","12266","Verify Cart Page","chromium","Mon Nov 04 14:19:38 WIB 2024","passed","Mon Nov 04 14:19:51 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","11481","Verify data product are accurate in checkout process","webkit","Mon Nov 04 14:50:39 WIB 2024","failed","Mon Nov 04 14:50:50 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","3627","@smoke - Verify adding product to cart and product information are accurate","Mobile Chrome","Mon Nov 04 14:26:10 WIB 2024","passed","Mon Nov 04 14:26:13 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","2457","Verify Inventory Page and Inventory Item Page","Mobile Safari","Mon Nov 04 14:30:20 WIB 2024","passed","Mon Nov 04 14:30:23 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1342","Verify error message for cart page without login","webkit","Mon Nov 04 14:51:00 WIB 2024","failed","Mon Nov 04 14:51:02 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2476","@smoke - Verify login process with valid credentials","firefox","Mon Nov 04 14:23:28 WIB 2024","passed","Mon Nov 04 14:23:30 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","61600","Can not access checkout-complete page without login","chromium","Mon Nov 04 14:20:53 WIB 2024","passed","Mon Nov 04 14:21:55 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2987","Verify error message for blank fields","Mobile Chrome","Mon Nov 04 14:26:17 WIB 2024","passed","Mon Nov 04 14:26:20 WIB 2024","Error Handling Test - Checkout","checkout-test.spec.js","",""
"","61806","Can not access inventory-item page without login","Mobile Chrome","Mon Nov 04 14:26:20 WIB 2024","passed","Mon Nov 04 14:27:22 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1616","Verify sort product function by names and prices","chromium","Mon Nov 04 14:21:19 WIB 2024","passed","Mon Nov 04 14:21:20 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1986","@smoke - Verify login process with valid credentials","chromium","Mon Nov 04 14:20:58 WIB 2024","passed","Mon Nov 04 14:21:00 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","3753","Verify data product are accurate in checkout process","chromium","Mon Nov 04 14:19:51 WIB 2024","passed","Mon Nov 04 14:19:54 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","1573","Test Github Actions - hasilnya failed","webkit","Mon Nov 04 14:50:52 WIB 2024","passed","Mon Nov 04 14:50:53 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2127","Verify product information match across pages","Mobile Safari","Mon Nov 04 14:30:25 WIB 2024","passed","Mon Nov 04 14:30:27 WIB 2024","Data Validation Test - Product","product-test.spec.js","",""
"","1493","Verify error message for access inventory page without login","Mobile Chrome","Mon Nov 04 14:28:10 WIB 2024","passed","Mon Nov 04 14:28:11 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","5261","@smoke - Verify Checkout Page","firefox","Mon Nov 04 14:21:51 WIB 2024","passed","Mon Nov 04 14:21:57 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","5819","Verify error message for blank fields","Mobile Safari","Mon Nov 04 14:28:36 WIB 2024","passed","Mon Nov 04 14:28:41 WIB 2024","Error Handling Test - Checkout","checkout-test.spec.js","",""
"","1964","Verify product information match across pages","chromium","Mon Nov 04 14:21:20 WIB 2024","passed","Mon Nov 04 14:21:22 WIB 2024","Data Validation Test - Product","product-test.spec.js","",""
"","1444","Verify error message for access inventory page without login","chromium","Mon Nov 04 14:21:10 WIB 2024","passed","Mon Nov 04 14:21:11 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","63646","Test Github Actions - hasilnya failed","firefox","Mon Nov 04 14:23:22 WIB 2024","passed","Mon Nov 04 14:24:26 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1522","Verify error message for checkout-complete inventory page without login","Mobile Safari","Mon Nov 04 14:30:19 WIB 2024","passed","Mon Nov 04 14:30:20 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2762","@smoke - Verify logout process","chromium","Mon Nov 04 14:21:00 WIB 2024","passed","Mon Nov 04 14:21:03 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1059","Verify Inventory Page and Inventory Item Page","webkit","Mon Nov 04 14:51:08 WIB 2024","failed","Mon Nov 04 14:51:09 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1469","Verify error message for access inventory-item page without login","chromium","Mon Nov 04 14:21:11 WIB 2024","passed","Mon Nov 04 14:21:13 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","62130","Can not access checkout-complete page without login","Mobile Chrome","Mon Nov 04 14:27:22 WIB 2024","passed","Mon Nov 04 14:28:24 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","972","Verify sort product function by names and prices","webkit","Mon Nov 04 14:51:09 WIB 2024","failed","Mon Nov 04 14:51:10 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","61652","Can not access inventory-item page without login","chromium","Mon Nov 04 14:19:52 WIB 2024","passed","Mon Nov 04 14:20:53 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1145","Verify error message for access inventory page without login","webkit","Mon Nov 04 14:51:01 WIB 2024","failed","Mon Nov 04 14:51:02 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","3573","@smoke - Verify logout process","firefox","Mon Nov 04 14:23:30 WIB 2024","passed","Mon Nov 04 14:23:34 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","61680","Can not access cart page without login","Mobile Safari","Mon Nov 04 14:28:42 WIB 2024","passed","Mon Nov 04 14:29:44 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","61968","Can not access inventory page without login","chromium","Mon Nov 04 14:19:51 WIB 2024","passed","Mon Nov 04 14:20:53 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1451","Verify error message for blank password field","Mobile Chrome","Mon Nov 04 14:28:05 WIB 2024","passed","Mon Nov 04 14:28:07 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","992","Verify error message for incorrect password","webkit","Mon Nov 04 14:50:56 WIB 2024","failed","Mon Nov 04 14:50:57 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","1455","Verify error message for cart page without login","Mobile Chrome","Mon Nov 04 14:28:08 WIB 2024","passed","Mon Nov 04 14:28:10 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","15800","Verify data product are accurate in checkout process","firefox","Mon Nov 04 14:22:02 WIB 2024","passed","Mon Nov 04 14:22:18 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","1659","Verify error message for incorrect password","Mobile Chrome","Mon Nov 04 14:28:07 WIB 2024","passed","Mon Nov 04 14:28:08 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","1497","Verify Inventory Page and Inventory Item Page","chromium","Mon Nov 04 14:21:17 WIB 2024","passed","Mon Nov 04 14:21:19 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","62321","Can not access checkout-complete page without login","firefox","Mon Nov 04 14:23:22 WIB 2024","passed","Mon Nov 04 14:24:24 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1326","Verify error message for access inventory-item page without login","Mobile Safari","Mon Nov 04 14:30:15 WIB 2024","passed","Mon Nov 04 14:30:16 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","1637","Verify error message for cart page without login","chromium","Mon Nov 04 14:21:08 WIB 2024","passed","Mon Nov 04 14:21:10 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","7430","@smoke - Verify Checkout Page","Mobile Safari","Mon Nov 04 14:28:35 WIB 2024","passed","Mon Nov 04 14:28:42 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","1392","Verify error message for checkout-overview inventory page without login","Mobile Safari","Mon Nov 04 14:30:17 WIB 2024","passed","Mon Nov 04 14:30:19 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","6082","Verify data product are accurate in checkout process","Mobile Safari","Mon Nov 04 14:28:35 WIB 2024","passed","Mon Nov 04 14:28:41 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","63377","Can not access checkout-info page without login","firefox","Mon Nov 04 14:22:23 WIB 2024","passed","Mon Nov 04 14:23:26 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","61627","Can not access inventory page without login","Mobile Safari","Mon Nov 04 14:28:41 WIB 2024","passed","Mon Nov 04 14:29:42 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","6988","Verify error message for blank fields","webkit","Mon Nov 04 14:50:43 WIB 2024","failed","Mon Nov 04 14:50:50 WIB 2024","Error Handling Test - Checkout","checkout-test.spec.js","",""
"","1136","@smoke - Verify logout process","webkit","Mon Nov 04 14:50:57 WIB 2024","failed","Mon Nov 04 14:50:58 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","2305","Verify error message for blank username field","firefox","Mon Nov 04 14:23:34 WIB 2024","passed","Mon Nov 04 14:23:36 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","29491","@smoke - Verify Checkout Page","webkit","Mon Nov 04 14:50:14 WIB 2024","passed","Mon Nov 04 14:50:43 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","4539","@smoke - Verify logout process","Mobile Chrome","Mon Nov 04 14:27:59 WIB 2024","passed","Mon Nov 04 14:28:03 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","2927","Verify error message for checkout-overview inventory page without login","firefox","Mon Nov 04 14:23:51 WIB 2024","passed","Mon Nov 04 14:23:54 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","4241","Verify product information match across pages","firefox","Mon Nov 04 14:24:02 WIB 2024","passed","Mon Nov 04 14:24:06 WIB 2024","Data Validation Test - Product","product-test.spec.js","",""
"","61416","Can not access inventory page without login","Mobile Chrome","Mon Nov 04 14:26:19 WIB 2024","passed","Mon Nov 04 14:27:21 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","77008","Can not access inventory-item page without login","firefox","Mon Nov 04 14:22:05 WIB 2024","passed","Mon Nov 04 14:23:22 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1673","Can not access checkout-info page without login","webkit","Mon Nov 04 14:50:50 WIB 2024","passed","Mon Nov 04 14:50:52 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1512","Verify error message for checkout-overview inventory page without login","webkit","Mon Nov 04 14:51:05 WIB 2024","failed","Mon Nov 04 14:51:07 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","1035","Verify error message for blank username field","webkit","Mon Nov 04 14:50:58 WIB 2024","failed","Mon Nov 04 14:50:59 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","2242","Verify sort product function by names and prices","Mobile Safari","Mon Nov 04 14:30:23 WIB 2024","passed","Mon Nov 04 14:30:25 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","64144","Can not access checkout-info page without login","Mobile Chrome","Mon Nov 04 14:26:47 WIB 2024","passed","Mon Nov 04 14:27:51 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","20423","Verify error message for blank fields","firefox","Mon Nov 04 14:22:02 WIB 2024","passed","Mon Nov 04 14:22:23 WIB 2024","Error Handling Test - Checkout","checkout-test.spec.js","",""
"","4332","Verify sort product function by names and prices","firefox","Mon Nov 04 14:24:00 WIB 2024","passed","Mon Nov 04 14:24:05 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1412","Verify error message for checkout-complete inventory page without login","webkit","Mon Nov 04 14:51:06 WIB 2024","failed","Mon Nov 04 14:51:08 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","3993","Verify error message for blank fields","chromium","Mon Nov 04 14:19:51 WIB 2024","passed","Mon Nov 04 14:19:55 WIB 2024","Error Handling Test - Checkout","checkout-test.spec.js","",""
"","62230","Test Github Actions - hasilnya failed","chromium","Mon Nov 04 14:20:56 WIB 2024","passed","Mon Nov 04 14:21:58 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","62088","Can not access checkout-overview page without login","Mobile Chrome","Mon Nov 04 14:27:21 WIB 2024","passed","Mon Nov 04 14:28:23 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2378","Verify error message for incorrect password","chromium","Mon Nov 04 14:21:06 WIB 2024","passed","Mon Nov 04 14:21:08 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","14982","Verify Cart Page","firefox","Mon Nov 04 14:21:25 WIB 2024","passed","Mon Nov 04 14:21:40 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","24929","@smoke - Verify removing product from cart","webkit","Mon Nov 04 14:50:14 WIB 2024","passed","Mon Nov 04 14:50:39 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","62927","Can not access inventory page without login","firefox","Mon Nov 04 14:21:57 WIB 2024","passed","Mon Nov 04 14:22:59 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1409","Verify error message for access inventory-item page without login","Mobile Chrome","Mon Nov 04 14:28:11 WIB 2024","passed","Mon Nov 04 14:28:13 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","61276","Can not access checkout-info page without login","chromium","Mon Nov 04 14:19:55 WIB 2024","passed","Mon Nov 04 14:20:56 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1556","Verify error message for checkout-overview inventory page without login","Mobile Chrome","Mon Nov 04 14:28:14 WIB 2024","passed","Mon Nov 04 14:28:15 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","7271","@smoke - Verify removing product from cart","Mobile Safari","Mon Nov 04 14:28:28 WIB 2024","passed","Mon Nov 04 14:28:36 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","1549","Verify Login Page","webkit","Mon Nov 04 14:50:52 WIB 2024","failed","Mon Nov 04 14:50:53 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1972","Verify error message for blank password field","Mobile Safari","Mon Nov 04 14:30:08 WIB 2024","passed","Mon Nov 04 14:30:10 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","1730","Verify error message for blank username field","Mobile Chrome","Mon Nov 04 14:28:03 WIB 2024","passed","Mon Nov 04 14:28:05 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","6840","@smoke - Verify adding product to cart and product information are accurate","Mobile Safari","Mon Nov 04 14:28:28 WIB 2024","passed","Mon Nov 04 14:28:35 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","1818","Verify error message for access inventory page without login","firefox","Mon Nov 04 14:23:45 WIB 2024","passed","Mon Nov 04 14:23:47 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","63758","Can not access cart page without login","Mobile Chrome","Mon Nov 04 14:26:46 WIB 2024","passed","Mon Nov 04 14:27:50 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1253","Verify error message for checkout-info page without login","webkit","Mon Nov 04 14:51:03 WIB 2024","failed","Mon Nov 04 14:51:05 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2743","Verify error message for access inventory-item page without login","firefox","Mon Nov 04 14:23:47 WIB 2024","passed","Mon Nov 04 14:23:49 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","1625","Verify error message for checkout-info page without login","chromium","Mon Nov 04 14:21:13 WIB 2024","passed","Mon Nov 04 14:21:14 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2125","Verify Inventory Page and Inventory Item Page","Mobile Chrome","Mon Nov 04 14:28:17 WIB 2024","passed","Mon Nov 04 14:28:19 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1254","Verify error message for checkout-info page without login","Mobile Chrome","Mon Nov 04 14:28:13 WIB 2024","passed","Mon Nov 04 14:28:14 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","1580","Verify error message for blank username field","Mobile Safari","Mon Nov 04 14:30:06 WIB 2024","passed","Mon Nov 04 14:30:08 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","6857","Verify Cart Page","Mobile Safari","Mon Nov 04 14:28:28 WIB 2024","passed","Mon Nov 04 14:28:35 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","61912","Can not access inventory-item page without login","Mobile Safari","Mon Nov 04 14:28:41 WIB 2024","passed","Mon Nov 04 14:29:43 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","12199","@smoke - Verify adding product to cart and product information are accurate","chromium","Mon Nov 04 14:19:38 WIB 2024","passed","Mon Nov 04 14:19:51 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","1250","Verify error message for checkout-complete inventory page without login","chromium","Mon Nov 04 14:21:16 WIB 2024","passed","Mon Nov 04 14:21:17 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","64336","Test Github Actions - hasilnya failed","Mobile Chrome","Mon Nov 04 14:27:50 WIB 2024","passed","Mon Nov 04 14:28:54 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1939","Verify product information match across pages","Mobile Chrome","Mon Nov 04 14:28:21 WIB 2024","passed","Mon Nov 04 14:28:23 WIB 2024","Data Validation Test - Product","product-test.spec.js","",""
"","1798","Verify error message for blank password field","chromium","Mon Nov 04 14:21:04 WIB 2024","passed","Mon Nov 04 14:21:06 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","61014","Can not access checkout-overview page without login","Mobile Safari","Mon Nov 04 14:29:42 WIB 2024","passed","Mon Nov 04 14:30:43 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1347","Verify error message for cart page without login","Mobile Safari","Mon Nov 04 14:30:12 WIB 2024","passed","Mon Nov 04 14:30:13 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","1981","Verify Login Page","firefox","Mon Nov 04 14:23:26 WIB 2024","passed","Mon Nov 04 14:23:28 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1443","Verify error message for access inventory page without login","Mobile Safari","Mon Nov 04 14:30:13 WIB 2024","passed","Mon Nov 04 14:30:15 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2928","@smoke - Verify removing product from cart","Mobile Chrome","Mon Nov 04 14:26:13 WIB 2024","passed","Mon Nov 04 14:26:16 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","3625","Verify Inventory Page and Inventory Item Page","firefox","Mon Nov 04 14:23:57 WIB 2024","passed","Mon Nov 04 14:24:00 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","2770","@smoke - Verify logout process","Mobile Safari","Mon Nov 04 14:30:03 WIB 2024","passed","Mon Nov 04 14:30:06 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","2292","@smoke - Verify login process with valid credentials","Mobile Safari","Mon Nov 04 14:30:01 WIB 2024","passed","Mon Nov 04 14:30:03 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","3965","Verify Login Page","Mobile Chrome","Mon Nov 04 14:27:51 WIB 2024","passed","Mon Nov 04 14:27:55 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1551","Verify error message for checkout-overview inventory page without login","chromium","Mon Nov 04 14:21:14 WIB 2024","passed","Mon Nov 04 14:21:16 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","4744","@smoke - Verify removing product from cart","firefox","Mon Nov 04 14:21:46 WIB 2024","passed","Mon Nov 04 14:21:51 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","784","Verify product information match across pages","webkit","Mon Nov 04 14:51:10 WIB 2024","failed","Mon Nov 04 14:51:11 WIB 2024","Data Validation Test - Product","product-test.spec.js","",""
